FIR_REG_NUM,CHARGESHEET_OR_NOT,CHARGESHEET_DT,FR_TYPE,COURT_DISPOSAL,DISPOSAL_DT
UP2025122300137,N,2025-12-28,B-Summary,,
UP2025072300012,N,2025-09-01,A-Summary,,
UP2025099100118,N,2025-11-22,A-Summary,,
UP2023028600095,N,2024-01-24,A-Summary,,
UP2023058800064,Y,2024-02-08,,,
UP2024035800016,Y,2024-12-25,,,
UP2024002500135,N,2025-06-08,B-Summary,,
UP2023148900154,Y,2024-05-07,,,
UP2023127700119,Y,2023-10-21,,,
UP2023149400148,N,2024-01-14,C-Summary,,
UP2025056800160,Y,2025-08-20,,,
UP2025015800161,Y,2025-07-18,,,
UP2023128000159,Y,2024-03-18,,Convicted,2024-10-29
UP2025076800172,Y,2025-08-01,,Pending Trial,
UP2025132900148,Y,2025-07-25,,Convicted,2026-06-30
UP2024103100035,Y,2024-03-31,,Discharged,2024-10-07
UP2025138700040,Y,2025-10-10,,,
UP2025130800026,Y,2025-06-25,,,
UP2023096700074,Y,2023-11-22,,,
UP2025084500099,Y,2026-05-03,,,
UP2023147800113,Y,2024-01-01,,,
UP2025054100249,N,2025-08-21,A-Summary,,
UP2024015700148,N,2024-09-10,B-Summary,,
UP2024084500088,N,2025-08-03,C-Summary,,
UP2025121700201,N,2026-03-08,B-Summary,,
UP2023079200011,N,2024-02-17,B-Summary,,
UP2025139500007,N,2025-07-14,A-Summary,,
UP2024104300213,Y,2024-08-16,,,
UP2024103600044,Y,2024-03-15,,Pending Trial,
UP2023096300066,N,2023-09-14,C-Summary,,
UP2025046100088,N,2026-05-12,A-Summary,,
UP2024119800160,N,2024-12-19,A-Summary,,
UP2025118400083,N,2026-05-06,B-Summary,,
UP2023025600060,N,2023-07-29,A-Summary,,
UP2024147600245,Y,2025-02-27,,,
UP2025049900045,N,2025-11-30,C-Summary,,
UP2023103600039,Y,2023-09-02,,Convicted,2024-01-07
UP2024082900090,N,2024-06-26,C-Summary,,
UP2023034600060,Y,2023-10-08,,Convicted,2024-02-21
UP2023003500047,Y,2024-04-29,,,
UP2023020200081,Y,2023-07-10,,,
UP2025098100090,Y,2025-12-18,,,
UP2023148000165,N,2024-08-07,B-Summary,,
UP2023074900042,Y,2024-02-28,,Pending Trial,
UP2023113300105,Y,2023-06-22,,Convicted,2024-07-07
UP2025094600123,N,2025-12-29,A-Summary,,
UP2024148400205,N,2024-12-27,A-Summary,,
UP2023128000160,N,2024-06-30,C-Summary,,
UP2023016600120,N,2024-04-29,A-Summary,,
UP2024022600028,Y,2024-05-30,,Acquitted,2024-11-19
UP2025132800263,Y,2026-03-13,,,
UP2024022300101,N,2024-09-29,A-Summary,,
UP2023116600068,Y,2023-12-26,,Convicted,2024-07-21
UP2023128300027,Y,2024-02-01,,,
UP2024142100124,N,2025-02-12,A-Summary,,
UP2024056400131,N,2025-08-20,C-Summary,,
UP2025008300018,Y,2025-12-03,,Pending Trial,
UP2025053900197,N,2026-01-10,A-Summary,,
UP2024035200086,N,2025-01-02,B-Summary,,
UP2023142500058,Y,2023-12-07,,Pending Trial,
UP2023117000058,N,2024-04-07,B-Summary,,
UP2025008600024,Y,2026-02-23,,,
UP2024096300086,Y,2024-12-04,,,
UP2023057800113,N,2024-07-24,A-Summary,,
UP2023019700118,Y,2023-10-31,,,
UP2023082000072,N,2023-09-07,B-Summary,,
UP2024048000113,Y,2024-08-28,,Pending Trial,
UP2024029200104,Y,2024-05-29,,,
UP2025034900105,Y,2025-10-21,,Convicted,2026-06-30
UP2023069900032,Y,2023-07-09,,Convicted,2025-01-22
UP2024149100201,Y,2025-02-15,,,
UP2025043500148,Y,2025-11-15,,Pending Trial,
UP2023094200053,Y,2023-06-28,,Pending Trial,
UP2024117000083,Y,2024-08-11,,Pending Trial,
UP2025115400175,N,2025-09-13,A-Summary,,
UP2023105500031,N,2024-04-20,C-Summary,,
UP2023020000102,Y,2023-09-13,,Pending Trial,
UP2023075500047,Y,2023-06-11,,Pending Trial,
UP2025127100135,N,2025-10-15,B-Summary,,
UP2025025300097,N,2025-12-10,A-Summary,,
UP2025115200123,N,2026-02-09,A-Summary,,
UP2025133100181,Y,2025-11-25,,Pending Trial,
UP2023140100168,Y,2023-12-19,,Pending Trial,
UP2024002800107,N,2024-09-24,A-Summary,,
UP2023086100024,N,2024-03-30,B-Summary,,
UP2025127900229,Y,2025-07-27,,Convicted,2026-03-14
UP2025035100089,N,2026-01-22,B-Summary,,
UP2025109200204,Y,2025-07-02,,,
UP2024074100103,N,2024-11-22,C-Summary,,
UP2025006800083,Y,2025-10-25,,Convicted,2026-02-25
UP2024005300031,Y,2025-02-24,,Pending Trial,
UP2024074400108,N,2024-08-18,A-Summary,,
UP2023055000123,N,2024-07-11,B-Summary,,
UP2025133000283,N,2026-03-28,A-Summary,,
UP2024088400027,Y,2024-05-12,,Pending Trial,
UP2023054800158,N,2024-02-04,B-Summary,,
UP2024122400103,N,2024-12-04,A-Summary,,
UP2025144300136,N,2026-02-20,B-Summary,,
UP2025132800264,Y,2025-11-03,,,
UP2025053100307,Y,2025-06-15,,Pending Trial,
UP2023045100053,N,2023-08-04,B-Summary,,
UP2024052500250,Y,2024-09-24,,,
UP2024124300050,Y,2025-02-02,,,
UP2025000600110,Y,2025-06-17,,Pending Trial,
UP2023127900156,N,2023-12-21,C-Summary,,
UP2025054700226,N,2026-01-30,C-Summary,,
UP2025051100219,Y,2026-05-27,,Pending Trial,
UP2025000100113,N,2025-12-28,C-Summary,,
UP2025148500284,N,2025-07-23,C-Summary,,
UP2024001500131,N,2025-05-13,B-Summary,,
UP2025010700077,Y,2026-02-14,,Pending Trial,
UP2025083800140,Y,2025-10-26,,Pending Trial,
UP2025149500280,N,2025-07-05,A-Summary,,
UP2024098800109,N,2025-01-03,C-Summary,,
UP2024003200136,N,2025-01-03,A-Summary,,
UP2023099800051,N,2024-08-04,C-Summary,,
UP2024046200094,Y,2024-08-11,,,
UP2023027500072,Y,2023-12-30,,,
UP2025114900158,Y,2026-03-22,,Pending Trial,
UP2024074400109,N,2024-05-26,B-Summary,,
UP2023019900144,N,2023-08-25,B-Summary,,
UP2025082700163,Y,2025-06-29,,,
UP2024030300028,Y,2024-07-10,,,
UP2024133400196,Y,2024-08-27,,Convicted,2025-08-10
UP2024016400166,N,2024-12-25,A-Summary,,
UP2024052800211,N,2025-03-16,A-Summary,,
UP2024003400106,Y,2024-12-12,,,
UP2024084500089,Y,2024-07-17,,Pending Trial,
UP2023001600058,N,2024-05-08,A-Summary,,
UP2023096900057,Y,2024-02-25,,Pending Trial,
UP2024078300077,N,2025-10-21,A-Summary,,
UP2023073700117,Y,2023-10-17,,Convicted,2024-09-17
UP2023005200115,Y,2023-04-18,,,
UP2025057200229,Y,2025-08-16,,Pending Trial,
UP2024122500167,N,2025-10-10,C-Summary,,
UP2025136300037,Y,2025-05-02,,Pending Trial,
UP2024085500109,N,2024-12-13,C-Summary,,
UP2024139700180,Y,2024-11-21,,Pending Trial,
UP2025115800050,Y,2025-09-27,,Pending Trial,
UP2023035100051,N,2023-10-03,B-Summary,,
UP2025132900149,Y,2025-06-18,,,
UP2023080500073,Y,2023-09-20,,Pending Trial,
UP2025080500123,Y,2025-05-28,,,
UP2025064900028,Y,2025-07-25,,Pending Trial,
UP2024029000096,N,2025-07-15,A-Summary,,
UP2024135300016,Y,2024-10-24,,Pending Trial,
UP2023007700009,Y,2023-05-19,,,
UP2025055200210,N,2026-06-11,B-Summary,,
UP2025120200151,N,2026-02-09,A-Summary,,
UP2024060300133,N,2024-08-29,B-Summary,,
UP2025145300031,N,2026-06-30,A-Summary,,
UP2023034800056,N,2023-11-14,B-Summary,,
UP2024129300036,Y,2024-09-23,,Pending Trial,
UP2025096600084,N,2026-06-30,B-Summary,,
UP2023118800049,N,2024-05-28,C-Summary,,
UP2024140600127,N,2024-12-16,B-Summary,,
UP2023077000104,Y,2023-07-15,,Pending Trial,
UP2023110100092,Y,2023-12-27,,,
UP2024085200104,Y,2024-09-26,,Pending Trial,
UP2025147900244,Y,2025-10-10,,,
UP2023123100080,N,2024-03-05,C-Summary,,
UP2023106000036,Y,2024-01-14,,,
UP2024015600099,N,2024-12-30,B-Summary,,
UP2023108700101,Y,2024-01-16,,,
UP2025022200112,Y,2025-11-01,,Pending Trial,
UP2023001500091,Y,2024-01-22,,Pending Trial,
UP2024085300116,Y,2025-02-13,,Acquitted,2025-10-31
UP2024054000153,N,2024-10-28,A-Summary,,
UP2025118300079,Y,2025-12-20,,Pending Trial,
UP2024020200132,N,2025-02-03,C-Summary,,
UP2023005200116,N,2024-09-08,A-Summary,,
UP2023074700101,Y,2023-09-21,,Pending Trial,
UP2024122700103,N,2025-09-06,C-Summary,,
UP2023039200019,Y,2024-01-04,,,
UP2025112300177,N,2026-01-16,A-Summary,,
UP2025054800239,N,2025-12-05,B-Summary,,
UP2024097800108,Y,2024-08-27,,,
UP2024062700101,N,2025-03-12,A-Summary,,
UP2023078100042,Y,2024-01-16,,Convicted,2025-07-16
UP2025028900128,Y,2025-08-07,,Convicted,2026-06-30
UP2025143600164,N,2025-10-21,A-Summary,,
UP2024149600183,N,2024-09-16,A-Summary,,
UP2024133400197,Y,2024-06-06,,,
UP2025006800084,N,2026-06-30,A-Summary,,
UP2024004200080,Y,2024-08-30,,Pending Trial,
UP2023097000082,Y,2023-07-26,,Pending Trial,
UP2024053400203,N,2025-02-27,C-Summary,,
UP2025081800170,Y,2025-10-22,,Pending Trial,
UP2023038100053,Y,2023-07-07,,,
UP2024054300194,N,2024-08-11,B-Summary,,
UP2024025500081,N,2025-05-12,B-Summary,,
UP2024082500092,Y,2025-04-29,,,
UP2025048900132,Y,2025-05-13,,,
UP2024088200032,N,2025-03-31,A-Summary,,
UP2025026100087,Y,2025-04-16,,Acquitted,2026-05-28
UP2023047600062,N,2023-12-01,C-Summary,,
UP2025062000119,Y,2026-02-13,,,
UP2025088400034,Y,2025-03-25,,Pending Trial,
UP2024015500108,Y,2024-07-28,,,
UP2025131200044,Y,2025-08-01,,,
UP2024053600197,N,2025-04-15,A-Summary,,
UP2024035600029,N,2025-01-11,B-Summary,,
UP2024108500166,Y,2024-07-03,,,
UP2023002900095,N,2024-01-20,A-Summary,,
UP2025142300104,Y,2025-03-31,,Pending Trial,
UP2023000200082,Y,2024-01-03,,,
UP2023035500013,Y,2023-11-14,,,
UP2023005000104,N,2024-10-16,A-Summary,,
UP2023048900079,N,2024-05-24,C-Summary,,
UP2025000500167,N,2025-09-14,A-Summary,,
UP2024057200199,N,2025-09-29,B-Summary,,
UP2024094400065,N,2025-06-21,C-Summary,,
UP2024020100190,N,2025-02-21,A-Summary,,
UP2025118100123,N,2026-06-30,C-Summary,,
UP2023114800114,Y,2023-05-11,,,
UP2023086500017,Y,2023-04-08,,Pending Trial,
UP2025060400184,N,2026-06-30,B-Summary,,
UP2025052500256,N,2026-04-07,C-Summary,,
UP2024120200140,Y,2024-08-19,,,
UP2023029300095,Y,2023-07-02,,,
UP2024127500155,N,2025-05-02,A-Summary,,
UP2024110200145,Y,2024-12-23,,,
UP2023013100005,Y,2023-06-13,,,
UP2024000200123,N,2025-04-14,B-Summary,,
UP2025103400031,Y,2025-08-16,,Convicted,2025-12-15
UP2024065000020,N,2024-10-11,A-Summary,,
UP2025112900170,Y,2026-01-27,,Pending Trial,
UP2023055700139,N,2024-09-02,A-Summary,,
UP2025118600071,Y,2025-11-30,,,
UP2023053300121,Y,2023-08-11,,Pending Trial,
UP2023144200135,Y,2024-01-08,,,
UP2025022700035,Y,2025-11-08,,Pending Trial,
UP2025053700200,N,2025-12-21,A-Summary,,
UP2025001900128,Y,2025-10-28,,Pending Trial,
UP2024148200222,Y,2025-04-01,,Convicted,2026-03-20
UP2023050100012,Y,2023-12-13,,Pending Trial,
UP2024037900090,N,2024-08-04,C-Summary,,
UP2023112200082,N,2024-08-25,A-Summary,,
UP2025127500174,N,2026-05-27,A-Summary,,
UP2024099900070,N,2025-03-28,B-Summary,,
UP2025109100123,N,2026-04-18,B-Summary,,
UP2024113100093,N,2025-06-24,C-Summary,,
UP2023120400108,N,2024-08-03,A-Summary,,
UP2024095800072,Y,2025-04-13,,,
UP2025114900159,Y,2025-08-23,,Pending Trial,
UP2024007000088,Y,2024-06-26,,,
UP2025081800171,N,2026-06-30,C-Summary,,
UP2025120200152,N,2025-11-26,C-Summary,,
UP2024000400102,N,2025-03-11,B-Summary,,
UP2024007900013,N,2025-04-06,B-Summary,,
UP2024062100138,Y,2024-11-06,,Pending Trial,
UP2024029700104,Y,2024-11-28,,,
UP2024122500168,N,2025-01-25,A-Summary,,
UP2023111300062,Y,2023-02-25,,,
UP2024083900108,Y,2024-11-01,,,
UP2025050800188,N,2026-01-26,B-Summary,,
UP2024141900129,Y,2024-10-15,,Pending Trial,
UP2025066700032,Y,2025-08-25,,,
UP2024107100112,N,2025-08-20,A-Summary,,
UP2025076800173,N,2026-06-30,C-Summary,,
UP2025047600099,Y,2025-04-23,,,
UP2025107100118,Y,2025-07-08,,Pending Trial,
UP2023143500106,Y,2023-05-02,,,
UP2023125900084,Y,2023-12-28,,,
UP2024108400122,N,2024-10-27,B-Summary,,
UP2024122800143,Y,2025-01-16,,Pending Trial,
UP2025031500106,Y,2025-09-28,,Pending Trial,
UP2025098100091,N,2025-11-18,C-Summary,,
UP2025064000025,N,2025-06-30,B-Summary,,
UP2024056400132,N,2025-02-03,C-Summary,,
UP2024132400135,Y,2024-09-27,,Acquitted,2026-05-15
UP2024057200200,N,2025-09-13,C-Summary,,
UP2024089600056,N,2025-05-18,C-Summary,,
UP2024105600069,Y,2024-08-30,,Convicted,2026-02-10
UP2024119800161,N,2024-10-02,C-Summary,,
UP2023104400133,N,2024-03-05,B-Summary,,
UP2025076400141,N,2025-07-05,B-Summary,,
UP2025117200087,Y,2025-07-23,,,
UP2025149600204,N,2025-12-28,A-Summary,,
UP2024121900130,N,2024-07-25,A-Summary,,
UP2023110900059,Y,2023-12-07,,,
UP2025059500013,Y,2025-08-11,,,
UP2025074600171,N,2026-03-11,A-Summary,,
UP2024061400055,N,2025-04-16,B-Summary,,
UP2025108900116,N,2026-04-07,B-Summary,,
UP2023069400137,N,2024-10-24,B-Summary,,
UP2025118400084,N,2026-03-24,A-Summary,,
UP2023091100066,Y,2023-09-24,,Pending Trial,
UP2023014000058,Y,2023-02-07,,,
UP2023027600090,N,2024-06-20,A-Summary,,
UP2023036700062,Y,2023-08-08,,,
UP2024147900228,N,2024-10-09,A-Summary,,
UP2025120400181,N,2026-02-21,B-Summary,,
UP2025099500106,Y,2025-09-27,,Pending Trial,
UP2024078100052,N,2025-02-02,B-Summary,,
UP2023053200109,N,2023-07-06,C-Summary,,
UP2024122900178,Y,2024-08-22,,Pending Trial,
UP2025094200109,Y,2026-04-19,,Pending Trial,
UP2024012200020,N,2024-11-19,B-Summary,,
UP2024058100064,N,2025-06-24,B-Summary,,
UP2023113300106,Y,2023-06-29,,,
UP2024069100164,N,2025-06-25,A-Summary,,
UP2023144100121,Y,2023-11-19,,,
UP2024014200098,Y,2024-03-10,,,
UP2025120400182,N,2026-01-15,B-Summary,,
UP2024112200111,Y,2024-10-20,,Pending Trial,
UP2023027300084,N,2024-09-19,A-Summary,,
UP2025058800095,Y,2026-02-09,,Pending Trial,
UP2025114900160,N,2025-09-25,B-Summary,,
UP2025053300211,N,2026-03-20,A-Summary,,
UP2023146000084,N,2024-05-22,B-Summary,,
UP2023113200078,Y,2024-01-30,,,
UP2024031700137,Y,2024-06-25,,,
UP2024097400108,Y,2024-08-29,,Pending Trial,
UP2025112000037,Y,2026-02-07,,Pending Trial,
UP2023140100169,Y,2023-07-23,,,
UP2023025600061,Y,2024-02-25,,,
UP2025013900118,Y,2025-10-07,,,
UP2023116500035,N,2024-04-07,A-Summary,,
UP2025112500164,N,2026-06-30,C-Summary,,
UP2025146100098,N,2025-12-09,A-Summary,,
UP2023044600056,Y,2023-09-07,,,
UP2023029500061,Y,2023-10-22,,Pending Trial,
UP2025052600242,Y,2025-08-25,,Pending Trial,
UP2024148100178,N,2025-01-27,C-Summary,,
UP2023112400114,Y,2023-09-27,,Pending Trial,
UP2023005600030,N,2023-05-16,A-Summary,,
UP2025146800028,Y,2025-07-11,,Pending Trial,
UP2024032800048,Y,2024-11-29,,,
UP2023054100150,Y,2024-02-18,,Pending Trial,
UP2024074900047,Y,2024-05-17,,Pending Trial,
UP2024050700157,Y,2024-11-10,,Pending Trial,
UP2025123500111,Y,2026-03-24,,Acquitted,2026-06-30
UP2024069100165,Y,2025-04-12,,Pending Trial,
UP2024128400032,N,2024-10-13,C-Summary,,
UP2025052900162,N,2025-10-11,C-Summary,,
UP2024004700157,Y,2025-02-16,,Pending Trial,
UP2023049900023,N,2023-07-04,C-Summary,,
UP2024057700176,N,2025-10-12,B-Summary,,
UP2024127100098,N,2025-03-14,A-Summary,,
UP2023029200079,Y,2023-05-17,,Convicted,2023-11-26
UP2025113200112,Y,2025-10-25,,Pending Trial,
UP2025081400165,N,2026-03-13,B-Summary,,
UP2023050800126,Y,2023-09-07,,Convicted,2024-03-12
UP2025045100086,Y,2025-09-04,,Acquitted,2026-06-30
UP2024114600113,Y,2025-02-24,,Pending Trial,
UP2024114800165,Y,2024-11-18,,,
UP2023062500068,N,2023-08-10,C-Summary,,
UP2024143500173,Y,2025-03-28,,,
UP2025114700144,N,2025-11-15,C-Summary,,
UP2025097100158,N,2025-12-31,A-Summary,,
UP2023029700085,N,2024-01-31,C-Summary,,
UP2025029600146,N,2026-06-30,C-Summary,,
UP2024071400012,Y,2024-10-08,,,
UP2025107900181,N,2026-06-26,B-Summary,,
UP2025050600160,N,2025-09-30,A-Summary,,
UP2023099100072,N,2024-02-10,B-Summary,,
UP2023018800007,Y,2023-06-23,,Convicted,2025-01-27
UP2023097300077,Y,2024-04-21,,,
UP2023053600143,Y,2023-08-07,,Pending Trial,
UP2024053700164,Y,2025-05-30,,,
UP2024149000174,Y,2025-01-27,,,
UP2025054100250,N,2025-05-21,B-Summary,,
UP2025060200123,N,2026-04-27,A-Summary,,
UP2024049300122,Y,2024-07-18,,Pending Trial,
UP2024005900034,N,2024-11-26,A-Summary,,
UP2024113000076,Y,2025-03-18,,,
UP2024148200223,Y,2025-03-18,,,
UP2024128100102,Y,2024-07-08,,,
UP2024029400076,Y,2025-03-25,,Pending Trial,
UP2025075600072,N,2026-03-25,C-Summary,,
UP2025054900251,N,2026-06-06,B-Summary,,
UP2024030500020,N,2025-01-21,C-Summary,,
UP2024063300116,Y,2025-02-06,,,
UP2025038000119,N,2026-04-03,A-Summary,,
UP2024045000100,N,2025-01-01,C-Summary,,
UP2025112800208,Y,2025-04-05,,Pending Trial,
UP2024057200201,N,2025-04-01,B-Summary,,
UP2024020900052,N,2025-01-25,A-Summary,,
UP2024139900208,N,2025-04-18,A-Summary,,
UP2025133400239,N,2025-11-24,A-Summary,,
UP2025108500186,Y,2025-05-16,,,
UP2024147400140,N,2024-10-11,B-Summary,,
UP2023076700145,Y,2023-11-26,,Pending Trial,
UP2025139900268,Y,2025-11-02,,,
UP2023082800103,N,2024-08-24,B-Summary,,
UP2024105100147,Y,2024-09-02,,,
UP2023121700130,N,2023-09-27,A-Summary,,
UP2025027400116,Y,2025-03-06,,Convicted,2025-08-06
UP2025023400031,Y,2025-12-09,,Pending Trial,
UP2024097400109,Y,2025-05-18,,Acquitted,2026-04-10
UP2023125600075,N,2023-06-01,A-Summary,,
UP2025055100161,Y,2025-08-12,,,
UP2023052200030,Y,2024-01-26,,,
UP2024044700105,Y,2024-03-21,,,
UP2023097300078,N,2023-08-01,B-Summary,,
UP2024029300140,N,2025-04-03,A-Summary,,
UP2024084200129,N,2025-06-04,A-Summary,,
UP2025054200249,N,2026-06-30,A-Summary,,
UP2024100000066,Y,2024-07-07,,,
UP2024069100166,N,2025-01-30,A-Summary,,
UP2024132600134,Y,2024-11-12,,Pending Trial,
UP2024095300094,N,2025-03-21,C-Summary,,
UP2025096600085,N,2026-06-30,C-Summary,,
UP2024053000221,Y,2024-09-30,,Pending Trial,
UP2023120000088,Y,2024-04-16,,Pending Trial,
UP2025027300130,Y,2025-04-07,,Pending Trial,
UP2024115200124,N,2025-03-02,B-Summary,,
UP2025007500026,N,2026-06-07,B-Summary,,
UP2024140600128,Y,2024-07-11,,Pending Trial,
UP2025001300136,N,2025-06-29,B-Summary,,
UP2024147900229,N,2025-07-05,A-Summary,,
UP2025025400088,N,2026-02-16,B-Summary,,
UP2025020100223,Y,2025-06-30,,Pending Trial,
UP2023109400122,N,2024-06-28,A-Summary,,
UP2024078900085,N,2025-05-13,A-Summary,,
UP2023007400051,N,2023-09-16,A-Summary,,
UP2024132900111,Y,2025-04-09,,Pending Trial,
UP2025046100089,N,2026-03-23,A-Summary,,
UP2024079600035,Y,2025-01-01,,,
UP2023100200055,Y,2023-04-01,,,
UP2024121500147,Y,2024-10-12,,Pending Trial,
UP2024045900091,N,2025-03-15,A-Summary,,
UP2024060000110,N,2025-05-15,A-Summary,,
UP2025074600172,Y,2026-02-14,,,
UP2025015700153,N,2026-01-29,B-Summary,,
UP2025054900252,Y,2026-01-28,,Pending Trial,
UP2024055900126,Y,2024-09-26,,Pending Trial,
UP2024097400110,N,2024-10-17,B-Summary,,
UP2025106900088,Y,2025-12-22,,,
UP2024000200124,N,2025-03-25,A-Summary,,
UP2025074900053,N,2026-06-30,B-Summary,,
UP2025057000137,N,2025-12-11,C-Summary,,
UP2023057200144,N,2024-04-03,C-Summary,,
UP2025076500097,N,2026-06-23,C-Summary,,
UP2025114900161,Y,2025-11-14,,,
UP2025095700123,N,2025-12-26,B-Summary,,
UP2025004400157,N,2026-06-13,A-Summary,,
UP2024149500211,N,2025-01-28,A-Summary,,
UP2025062200122,N,2025-12-05,C-Summary,,
UP2023127200136,N,2023-08-05,C-Summary,,
UP2025091600135,N,2026-05-23,A-Summary,,
UP2025090100123,N,2025-09-27,B-Summary,,
UP2024006200021,Y,2024-08-21,,Convicted,2026-04-10
UP2023127900157,Y,2023-06-15,,,
UP2023127900158,N,2024-06-15,C-Summary,,
UP2024052700143,Y,2024-10-08,,Convicted,2026-01-04
UP2023089700041,Y,2023-07-09,,,
UP2023144000115,N,2023-09-23,A-Summary,,
UP2024133300172,N,2024-07-21,B-Summary,,
UP2023118900022,N,2024-08-03,C-Summary,,
UP2025139800215,N,2026-06-30,A-Summary,,
UP2025109500143,N,2026-01-12,B-Summary,,
UP2024084400160,Y,2024-12-06,,,
UP2024082400077,N,2025-04-08,C-Summary,,
UP2024148600147,Y,2025-05-22,,Pending Trial,
UP2025029500116,N,2025-12-07,B-Summary,,
UP2024019700143,N,2024-12-16,B-Summary,,
UP2024127800102,N,2025-05-15,A-Summary,,
UP2025076700211,N,2026-02-21,A-Summary,,
UP2025020000157,N,2026-06-13,B-Summary,,
UP2023120800089,Y,2023-08-10,,,
UP2025040400008,Y,2026-01-01,,,
UP2025083800141,N,2025-08-18,A-Summary,,
UP2024127400129,Y,2024-06-09,,,
UP2025132900150,N,2026-06-12,C-Summary,,
UP2024001700091,Y,2024-11-08,,Pending Trial,
UP2025143700210,N,2026-06-30,B-Summary,,
UP2025050500148,Y,2025-08-27,,Acquitted,2026-06-30
UP2024118000119,N,2024-10-25,B-Summary,,
UP2024082500093,N,2024-11-30,A-Summary,,
UP2024052800212,N,2024-12-04,B-Summary,,
UP2023059600022,N,2024-03-31,A-Summary,,
UP2024029900036,N,2025-08-10,A-Summary,,
UP2023030100034,Y,2023-10-29,,Pending Trial,
UP2023139700144,Y,2023-07-17,,Pending Trial,
UP2023140300125,Y,2023-05-01,,,
UP2025054300241,Y,2026-01-13,,Pending Trial,
UP2024032600082,N,2025-01-02,B-Summary,,
UP2025009800008,Y,2025-04-12,,Pending Trial,
UP2023110600133,Y,2023-12-11,,,
UP2024084100138,N,2024-07-20,C-Summary,,
UP2025118200119,N,2026-02-23,C-Summary,,
